ID,Nome,Raça,Preço
1,Buddy,Golden Retriever,1500.0
2,Charlie,Beagle,1300.0
3,Rocky,German Shepherd,2500.0
4,Jack,Husky,2200.0
5,Ruby,Dachshund,1100.0
6,Sophie,Cocker Spaniel,1300.0
7,Lucy,Pomeranian,1400.0
8,Lily,Labrador,1900.0
9,Oscar,Siberian Husky,2400.0
10,Bruno,Boxer,1800.0
11,Toby,Dalmatian,1700.0
12,Leo,Rottweiler,2100.0
13,Duke,Border Collie,1600.0
14,Milo,Shih Tzu,1400.0
15,Oliver,Corgi,1500.0
16,Bentley,Great Dane,2700.0
17,Finn,Australian Shepherd,1900.0
18,Cooper,Doberman,2300.0
19,Kokoa,Yorkhine,200.0
20,Thiago,Pe duro,20.0
